"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"1",0,55,0,56,1000,"extinction"
"2",0,122,9,122,5360,"reached_max"
"3",0,110,9,110,5303,"reached_max"
"4",0,51,0,52,1000,"extinction"
"5",0,47,0,48,1000,"extinction"
"6",0,114,9,114,5172,"reached_max"
"7",0,94,9,94,5061,"reached_max"
"8",0,61,0,62,1000,"extinction"
"9",0,139,9,139,5241,"reached_max"
"10",0,120,9,120,5172,"reached_max"
"11",0,108,0,109,1000,"extinction"
"12",0,42,0,43,1000,"extinction"
"13",0,65,0,66,1000,"extinction"
"14",0,88,0,89,1000,"extinction"
"15",0,83,9,83,5024,"reached_max"
"16",0,101,9,101,5184,"reached_max"
"17",0,49,0,50,1000,"extinction"
"18",0,81,9,81,5346,"reached_max"
"19",0,43,0,44,1000,"extinction"
"20",0,73,2,157,5024,"reached_max"
"21",0,62,0,63,1000,"extinction"
"22",0,53,6,140,5086,"reached_max"
"23",0,48,1,140,5214,"reached_max"
"24",0,112,9,112,5184,"reached_max"
"25",0,95,9,95,5282,"reached_max"
"26",0,89,9,89,5208,"reached_max"
"27",0,44,0,45,1000,"extinction"
"28",0,107,9,107,5150,"reached_max"
"29",0,36,6,118,5442,"reached_max"
"30",0,45,0,46,1000,"extinction"
"31",0,124,9,124,5287,"reached_max"
"32",0,117,9,117,5312,"reached_max"
"33",0,106,9,106,5088,"reached_max"
"34",0,66,8,156,5289,"reached_max"
"35",0,125,9,125,5191,"reached_max"
"36",0,46,0,47,1000,"extinction"
"37",0,63,6,193,5146,"reached_max"
"38",0,103,9,103,5302,"reached_max"
"39",0,48,0,49,1000,"extinction"
"40",0,57,0,58,1000,"extinction"
"41",0,47,0,48,1000,"extinction"
"42",0,107,9,107,5157,"reached_max"
"43",0,48,0,49,1000,"extinction"
"44",0,37,9,119,5029,"reached_max"
"45",0,95,9,95,5118,"reached_max"
"46",0,55,4,133,5175,"reached_max"
"47",0,55,0,56,1000,"extinction"
"48",0,96,9,96,5083,"reached_max"
"49",0,112,9,112,5134,"reached_max"
"50",0,117,9,117,5314,"reached_max"
"51",0,108,9,108,5343,"reached_max"
"52",0,142,9,142,5052,"reached_max"
"53",0,80,0,81,1000,"extinction"
"54",0,105,9,105,5017,"reached_max"
"55",0,110,9,110,5001,"reached_max"
"56",0,41,0,42,1000,"extinction"
"57",0,86,9,86,5279,"reached_max"
"58",0,66,0,67,1000,"extinction"
"59",0,92,9,92,5111,"reached_max"
"60",0,113,9,113,5343,"reached_max"
"61",0,83,9,83,5109,"reached_max"
"62",0,108,9,108,5075,"reached_max"
"63",0,52,0,53,1000,"extinction"
"64",0,99,9,99,5439,"reached_max"
"65",0,61,0,62,1000,"extinction"
"66",0,47,0,48,1000,"extinction"
"67",0,45,0,46,1000,"extinction"
"68",0,112,9,112,5317,"reached_max"
"69",0,54,0,55,1000,"extinction"
"70",0,133,9,133,5405,"reached_max"
"71",0,99,9,99,5481,"reached_max"
"72",0,98,9,98,5284,"reached_max"
"73",0,52,0,53,1000,"extinction"
"74",0,130,9,130,5441,"reached_max"
"75",0,46,1,137,5001,"reached_max"
"76",0,116,9,116,5188,"reached_max"
"77",0,54,0,55,1000,"extinction"
"78",0,99,9,99,5128,"reached_max"
"79",0,116,9,116,5024,"reached_max"
"80",0,96,9,96,5178,"reached_max"
"81",0,120,9,120,5028,"reached_max"
"82",0,50,0,51,1000,"extinction"
"83",0,145,9,145,5047,"reached_max"
"84",0,46,0,47,1000,"extinction"
"85",0,61,0,62,1000,"extinction"
"86",0,106,9,106,5167,"reached_max"
"87",0,47,4,152,5209,"reached_max"
"88",0,94,9,94,5137,"reached_max"
"89",0,148,9,148,5078,"reached_max"
"90",0,71,0,72,1000,"extinction"
"91",0,38,0,39,1000,"extinction"
"92",0,84,0,85,1000,"extinction"
"93",0,54,2,172,5012,"reached_max"
"94",0,96,9,96,5354,"reached_max"
"95",0,52,5,171,5028,"reached_max"
"96",0,83,1,213,5274,"reached_max"
"97",0,45,3,124,5166,"reached_max"
"98",0,42,0,43,1000,"extinction"
"99",0,130,9,130,5244,"reached_max"
"100",0,49,0,50,1000,"extinction"
"101",0,134,9,134,5181,"reached_max"
"102",0,88,9,88,5143,"reached_max"
"103",0,115,9,115,5064,"reached_max"
"104",0,66,0,67,1000,"extinction"
"105",0,116,9,116,5066,"reached_max"
"106",0,81,9,81,5265,"reached_max"
"107",0,104,9,104,5146,"reached_max"
"108",0,117,9,117,5223,"reached_max"
"109",0,96,9,96,5223,"reached_max"
"110",0,100,9,100,5318,"reached_max"
"111",0,49,0,50,1000,"extinction"
"112",0,60,3,160,5344,"reached_max"
"113",0,57,0,58,1000,"extinction"
"114",0,39,7,117,5008,"reached_max"
"115",0,101,9,101,5437,"reached_max"
"116",0,56,0,57,1000,"extinction"
"117",0,116,9,116,5105,"reached_max"
"118",0,126,9,126,5380,"reached_max"
"119",0,40,0,41,1000,"extinction"
"120",0,89,9,89,5366,"reached_max"
"121",0,114,9,114,5123,"reached_max"
"122",0,53,0,54,1000,"extinction"
"123",0,124,9,124,5190,"reached_max"
"124",0,90,9,90,5094,"reached_max"
"125",0,110,9,110,5338,"reached_max"
"126",0,112,9,112,5021,"reached_max"
"127",0,129,9,129,5080,"reached_max"
"128",0,52,0,53,1000,"extinction"
"129",0,57,0,58,1000,"extinction"
"130",0,121,9,121,5001,"reached_max"
"131",0,106,9,106,5215,"reached_max"
"132",0,61,0,62,1000,"extinction"
"133",0,85,9,85,5031,"reached_max"
"134",0,41,0,42,1000,"extinction"
"135",0,110,9,110,5165,"reached_max"
"136",0,57,0,58,1000,"extinction"
"137",0,52,0,53,1000,"extinction"
"138",0,47,0,48,1000,"extinction"
"139",0,150,9,150,5057,"reached_max"
"140",0,132,9,132,5226,"reached_max"
"141",0,121,9,121,5269,"reached_max"
"142",0,128,9,128,5026,"reached_max"
"143",0,64,6,189,5325,"reached_max"
"144",0,94,9,94,5127,"reached_max"
"145",0,100,9,100,5042,"reached_max"
"146",0,136,9,136,5171,"reached_max"
"147",0,45,0,46,1000,"extinction"
"148",0,98,9,98,5281,"reached_max"
"149",0,128,9,128,5242,"reached_max"
"150",0,46,0,47,1000,"extinction"
"151",0,96,0,97,1000,"extinction"
"152",0,113,9,113,5324,"reached_max"
"153",0,142,9,142,5383,"reached_max"
"154",0,43,6,133,5219,"reached_max"
"155",0,44,5,151,5182,"reached_max"
"156",0,98,9,98,5104,"reached_max"
"157",0,115,9,115,5049,"reached_max"
"158",0,119,9,119,5170,"reached_max"
"159",0,118,9,118,5219,"reached_max"
"160",0,109,9,109,5110,"reached_max"
"161",0,90,9,90,5107,"reached_max"
"162",0,44,0,45,1000,"extinction"
"163",0,95,9,95,5297,"reached_max"
"164",0,44,0,45,1000,"extinction"
"165",0,89,9,89,5307,"reached_max"
"166",0,55,0,56,1000,"extinction"
"167",0,105,9,105,5194,"reached_max"
"168",0,71,4,152,5060,"reached_max"
"169",0,92,9,92,5361,"reached_max"
"170",0,157,9,157,5205,"reached_max"
"171",0,95,9,95,5357,"reached_max"
"172",0,95,0,96,1000,"extinction"
"173",0,116,9,116,5359,"reached_max"
"174",0,55,0,56,1000,"extinction"
"175",0,46,0,47,1000,"extinction"
"176",0,48,0,49,1000,"extinction"
"177",0,120,9,120,5011,"reached_max"
"178",0,100,9,100,5153,"reached_max"
"179",0,50,0,51,1000,"extinction"
"180",0,107,9,107,5400,"reached_max"
"181",0,55,0,56,1000,"extinction"
"182",0,113,9,113,5102,"reached_max"
"183",0,119,9,119,5112,"reached_max"
"184",0,112,9,112,5071,"reached_max"
"185",0,136,9,136,5549,"reached_max"
"186",0,112,9,112,5053,"reached_max"
"187",0,129,9,129,5283,"reached_max"
"188",0,119,9,119,5063,"reached_max"
"189",0,102,9,102,5162,"reached_max"
"190",0,114,9,114,5193,"reached_max"
"191",0,109,9,109,5333,"reached_max"
"192",0,105,9,105,5286,"reached_max"
"193",0,127,9,127,5410,"reached_max"
"194",0,38,7,116,5331,"reached_max"
"195",0,41,2,131,5422,"reached_max"
"196",0,66,0,67,1000,"extinction"
"197",0,62,0,63,1000,"extinction"
"198",0,111,9,111,5341,"reached_max"
"199",0,104,9,104,5173,"reached_max"
"200",0,119,9,119,5231,"reached_max"
"201",0,54,8,141,5125,"reached_max"
"202",0,120,9,120,5191,"reached_max"
"203",0,111,9,111,5211,"reached_max"
"204",0,115,9,115,5001,"reached_max"
"205",0,136,9,136,5122,"reached_max"
"206",0,69,0,70,1000,"extinction"
"207",0,143,9,143,5330,"reached_max"
"208",0,83,9,83,5233,"reached_max"
"209",0,132,9,132,5003,"reached_max"
"210",0,64,0,65,1000,"extinction"
"211",0,77,0,78,1000,"extinction"
"212",0,59,0,60,1000,"extinction"
"213",0,107,9,107,5188,"reached_max"
"214",0,73,0,74,1000,"extinction"
"215",0,61,7,138,5460,"reached_max"
"216",0,70,0,71,1000,"extinction"
"217",0,47,8,130,5356,"reached_max"
"218",0,66,0,67,1000,"extinction"
"219",0,39,9,135,5227,"reached_max"
"220",0,95,9,95,5197,"reached_max"
"221",0,84,9,84,5242,"reached_max"
"222",0,56,0,57,1000,"extinction"
"223",0,57,0,58,1000,"extinction"
"224",0,46,0,47,1000,"extinction"
"225",0,58,0,59,1000,"extinction"
"226",0,111,9,111,5208,"reached_max"
"227",0,42,0,43,1000,"extinction"
"228",0,127,9,127,5280,"reached_max"
"229",0,114,9,114,5089,"reached_max"
"230",0,103,9,103,5333,"reached_max"
"231",0,105,9,105,5100,"reached_max"
"232",0,103,9,103,5170,"reached_max"
"233",0,98,9,98,5277,"reached_max"
"234",0,63,0,64,1000,"extinction"
"235",0,54,0,55,1000,"extinction"
"236",0,102,9,102,5151,"reached_max"
"237",0,48,0,49,1000,"extinction"
"238",0,114,9,114,5235,"reached_max"
"239",0,42,4,122,5098,"reached_max"
"240",0,53,0,54,1000,"extinction"
"241",0,120,9,120,5037,"reached_max"
"242",0,52,0,53,1000,"extinction"
"243",0,113,9,113,5296,"reached_max"
"244",0,99,9,99,5130,"reached_max"
"245",0,99,9,99,5033,"reached_max"
"246",0,111,9,111,5151,"reached_max"
"247",0,44,7,126,5235,"reached_max"
"248",0,116,9,116,5128,"reached_max"
"249",0,106,9,106,5266,"reached_max"
"250",0,62,5,129,5363,"reached_max"
"251",0,145,9,145,5150,"reached_max"
"252",0,82,3,152,5165,"reached_max"
"253",0,152,9,152,5344,"reached_max"
"254",0,103,9,103,5195,"reached_max"
"255",0,85,9,85,5268,"reached_max"
"256",0,105,9,105,5318,"reached_max"
"257",0,105,9,105,5128,"reached_max"
