"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"1",0,33,24,96,5048,"reached_max"
"2",0,39,63,93,5204,"reached_max"
"3",0,49,19,122,5125,"reached_max"
"4",0,30,73,105,5445,"reached_max"
"5",0,48,24,109,5492,"reached_max"
"6",0,32,21,127,5446,"reached_max"
"7",0,24,86,93,5108,"reached_max"
"8",0,47,53,98,5410,"reached_max"
"9",0,36,97,103,5384,"reached_max"
"10",0,30,120,87,5026,"reached_max"
"11",0,28,95,84,5334,"reached_max"
"12",0,45,0,45,1000,"extinction"
"13",0,51,0,51,1000,"extinction"
"14",0,39,65,106,5250,"reached_max"
"15",0,54,3,164,5263,"reached_max"
"16",0,48,41,125,5106,"reached_max"
"17",0,55,0,55,1000,"extinction"
"18",0,41,6,142,5080,"reached_max"
"19",0,47,0,47,1000,"extinction"
"20",0,50,0,50,1000,"extinction"
"21",0,29,31,96,5316,"reached_max"
"22",0,36,36,111,5125,"reached_max"
"23",0,55,13,128,5193,"reached_max"
"24",0,60,0,60,1000,"extinction"
"25",0,48,0,48,1000,"extinction"
"26",0,36,35,107,5314,"reached_max"
"27",0,53,1,134,5090,"reached_max"
"28",0,44,39,110,5385,"reached_max"
"29",0,36,47,110,5136,"reached_max"
"30",0,46,17,128,5168,"reached_max"
"31",0,60,18,139,5114,"reached_max"
"32",0,51,14,123,5213,"reached_max"
"33",0,44,25,119,5402,"reached_max"
"34",0,26,95,95,5092,"reached_max"
"35",0,37,27,99,5261,"reached_max"
"36",0,35,70,103,5010,"reached_max"
"37",0,72,0,72,1000,"extinction"
"38",0,42,58,98,5180,"reached_max"
"39",0,32,14,111,5285,"reached_max"
"40",0,35,61,106,5102,"reached_max"
"41",0,60,2,173,5280,"reached_max"
"42",0,35,118,92,5171,"reached_max"
"43",0,52,15,126,5029,"reached_max"
"44",0,43,27,110,5104,"reached_max"
"45",0,51,0,51,1000,"extinction"
"46",0,41,22,116,5300,"reached_max"
"47",0,31,64,99,5037,"reached_max"
"48",0,78,0,78,1000,"extinction"
"49",0,51,8,136,5335,"reached_max"
"50",0,38,12,110,5052,"reached_max"
"51",0,47,8,131,5195,"reached_max"
"52",0,34,49,90,5145,"reached_max"
"53",0,65,0,65,1000,"extinction"
"54",0,52,15,137,5077,"reached_max"
"55",0,47,38,104,5320,"reached_max"
"56",0,50,42,107,5266,"reached_max"
"57",0,44,29,119,5126,"reached_max"
"58",0,42,13,133,5467,"reached_max"
"59",0,37,32,117,5162,"reached_max"
"60",0,58,0,58,1000,"extinction"
"61",0,39,64,112,5351,"reached_max"
"62",0,47,0,47,1035,"extinction"
"63",0,37,78,89,5268,"reached_max"
"64",0,31,79,90,5195,"reached_max"
"65",0,55,0,55,1000,"extinction"
"66",0,40,0,40,1000,"extinction"
"67",0,70,0,70,1000,"extinction"
"68",0,55,22,114,5044,"reached_max"
"69",0,37,17,118,5017,"reached_max"
"70",0,60,28,136,5030,"reached_max"
"71",0,56,0,56,1000,"extinction"
"72",0,86,0,86,1000,"extinction"
"73",0,31,53,101,5098,"reached_max"
"74",0,28,47,113,5139,"reached_max"
"75",0,39,41,94,5008,"reached_max"
"76",0,35,23,97,5101,"reached_max"
"77",0,36,15,110,5291,"reached_max"
"78",0,37,16,125,5303,"reached_max"
"79",0,39,0,39,1000,"extinction"
"80",0,82,0,82,1000,"extinction"
"81",0,54,25,134,5078,"reached_max"
"82",0,60,0,60,1000,"extinction"
"83",0,45,64,109,5226,"reached_max"
"84",0,38,11,95,5302,"reached_max"
"85",0,26,18,97,5312,"reached_max"
"86",0,46,26,114,5239,"reached_max"
"87",0,51,51,114,5221,"reached_max"
"88",0,46,0,46,1000,"extinction"
"89",0,58,11,166,5073,"reached_max"
"90",0,43,0,43,1000,"extinction"
"91",0,57,10,135,5302,"reached_max"
"92",0,93,0,93,1000,"extinction"
"93",0,44,13,130,5297,"reached_max"
"94",0,44,51,105,5388,"reached_max"
"95",0,77,0,77,1000,"extinction"
"96",0,38,27,135,5106,"reached_max"
"97",0,40,25,127,5503,"reached_max"
"98",0,56,0,56,1000,"extinction"
"99",0,30,58,93,5366,"reached_max"
"100",0,37,33,99,5414,"reached_max"
"101",0,37,45,96,5013,"reached_max"
"102",0,45,38,116,5157,"reached_max"
"103",0,73,0,73,1000,"extinction"
"104",0,46,34,114,5029,"reached_max"
"105",0,41,10,119,5166,"reached_max"
"106",0,40,120,84,5093,"reached_max"
"107",0,59,0,59,1000,"extinction"
"108",0,44,21,131,5071,"reached_max"
"109",0,30,33,91,5472,"reached_max"
"110",0,62,0,62,1000,"extinction"
"111",0,60,0,60,1000,"extinction"
"112",0,35,60,90,5343,"reached_max"
"113",0,39,19,118,5152,"reached_max"
"114",0,46,23,114,5175,"reached_max"
"115",0,35,11,142,5172,"reached_max"
"116",0,63,0,63,1000,"extinction"
"117",0,37,46,92,5046,"reached_max"
"118",0,55,0,55,1000,"extinction"
"119",0,51,0,51,1000,"extinction"
"120",0,67,62,120,5136,"reached_max"
"121",0,57,12,135,5276,"reached_max"
"122",0,38,44,102,5082,"reached_max"
"123",0,38,27,112,5150,"reached_max"
"124",0,41,51,99,5293,"reached_max"
"125",0,45,44,106,5110,"reached_max"
"126",0,41,67,105,5194,"reached_max"
"127",0,29,67,89,5183,"reached_max"
"128",0,47,0,47,1000,"extinction"
"129",0,54,0,54,1000,"extinction"
"130",0,63,0,63,1000,"extinction"
"131",0,51,0,51,1000,"extinction"
"132",0,44,31,119,5152,"reached_max"
"133",0,41,9,117,5294,"reached_max"
"134",0,94,1,182,5213,"reached_max"
"135",0,47,0,47,1000,"extinction"
"136",0,65,0,65,1000,"extinction"
"137",0,28,45,96,5422,"reached_max"
"138",0,47,53,107,5015,"reached_max"
"139",0,40,34,104,5220,"reached_max"
"140",0,47,11,114,5227,"reached_max"
"141",0,42,26,96,5018,"reached_max"
"142",0,32,0,32,1000,"extinction"
"143",0,32,33,96,5073,"reached_max"
"144",0,44,22,114,5116,"reached_max"
"145",0,30,62,94,5082,"reached_max"
"146",0,70,0,70,1000,"extinction"
"147",0,41,31,122,5245,"reached_max"
"148",0,42,5,146,5210,"reached_max"
"149",0,51,2,174,5124,"reached_max"
"150",0,47,0,47,1000,"extinction"
