"migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
3,0.9,489,6,489,6,1,1
3,0.9,73,5,73,5,1,1
3,0.9,1630,6,1630,6,1,1
3,0.9,390,4,390,4,1,1
3,0.9,176,5,176,5,1,1
3,0.9,643,6,643,6,1,1
3,0.9,92,4,92,4,1,1
3,0.9,825,5,825,5,1,1
3,0.9,82,4,82,4,1,1
3,0.9,843,6,843,6,1,1
3,0.9,102,5,102,5,1,1
3,0.9,656,6,656,6,1,1
3,0.9,1114,5,1114,5,1,1
3,0.9,1496,6,1496,6,1,1
3,0.9,126,5,126,5,1,1
3,0.9,569,6,569,6,1,1
3,0.9,129,6,129,6,1,1
3,0.9,75,6,75,6,0.75,1
3,0.9,279,4,279,4,1,1
3,0.9,190,4,190,4,1,1
3,0.9,239,3,239,3,1,1
3,0.9,122,6,122,6,1,1
3,0.9,197,6,197,6,1,1
3,0.9,697,6,697,6,1,1
3,0.9,369,6,369,6,1,1
3,0.9,219,6,219,6,0.833333333333333,1
3,0.9,191,6,191,6,1,1
3,0.9,184,6,184,6,1,1
3,0.9,720,5,720,5,1,1
3,0.9,227,6,227,6,1,1
3,0.9,121,6,121,6,1,1
3,0.9,283,6,283,6,1,1
3,0.9,1784,5,1784,5,1,1
3,0.9,213,4,213,4,1,1
3,0.9,324,4,324,4,1,1
3,0.9,786,6,786,6,1,1
3,0.9,374,6,374,6,1,1
3,0.9,813,6,813,6,1,1
3,0.9,238,6,238,6,1,1
3,0.9,113,6,113,6,1,1
3,0.9,111,4,111,4,1,1
3,0.9,510,4,510,4,1,1
3,0.9,254,6,254,6,1,1
3,0.9,304,6,304,6,1,1
3,0.9,447,5,447,5,1,1
3,0.9,384,5,384,5,1,1
3,0.9,1203,6,1203,6,1,1
3,0.9,544,5,544,5,1,1
3,0.9,652,5,652,5,1,1
3,0.9,280,6,280,6,1,1
3,0.9,788,5,788,5,1,1
3,0.9,2312,6,2312,6,1,1
3,0.9,296,5,296,5,1,1
3,0.9,268,5,268,5,1,1
3,0.9,497,5,497,5,1,1
3,0.9,764,8,408,1563,0.0275111964171465,3
3,0.9,161,6,161,6,1,1
3,0.9,669,6,669,6,1,1
3,0.9,470,6,470,6,1,1
3,0.9,845,5,845,5,1,1
3,0.9,674,5,674,5,1,1
3,0.9,558,6,558,6,1,1
3,0.9,139,4,139,4,1,1
3,0.9,500,4,500,4,1,1
3,0.9,1146,5,1146,5,1,1
3,0.9,304,6,304,6,1,1
3,0.9,742,6,742,6,1,1
3,0.9,211,6,211,6,1,1
3,0.9,349,5,349,5,1,1
3,0.9,515,2,515,2,1,1
3,0.9,602,6,602,6,1,1
3,0.9,281,6,281,6,1,1
3,0.9,205,5,205,5,1,1
3,0.9,229,6,229,6,1,1
3,0.9,729,3,729,3,1,1
3,0.9,80,6,80,6,1,1
3,0.9,750,5,750,5,1,1
3,0.9,63,3,63,3,1,1
3,0.9,211,6,211,6,1,1
3,0.9,650,6,650,6,1,1
3,0.9,173,5,173,5,1,1
3,0.9,495,6,495,6,0.916666666666667,1
3,0.9,1010,3,1010,3,1,1
3,0.9,100,6,100,6,1,1
3,0.9,88,6,88,6,1,1
3,0.9,311,3,311,3,1,1
3,0.9,136,6,136,6,1,1
3,0.9,74,6,74,6,1,1
3,0.9,937,5,937,5,1,1
3,0.9,458,5,458,5,1,1
3,0.9,823,4,823,4,1,1
3,0.9,102,6,102,6,1,1
3,0.9,413,5,413,5,1,1
3,0.9,177,5,177,5,1,1
3,0.9,239,9,84,1612,0.0173697270471464,3
3,0.9,580,6,580,6,1,1
3,0.9,77,6,77,6,1,1
3,0.9,606,6,606,6,1,1
3,0.9,191,1,191,1,1,1
3,0.9,512,6,512,6,0.916666666666667,1
3,0.9,90,6,90,6,1,1
3,0.9,89,5,89,5,1,1
3,0.9,51,5,51,5,1,1
3,0.9,300,5,300,5,1,1
3,0.9,133,6,133,6,1,1
3,0.9,149,5,149,5,1,1
3,0.9,1125,6,1125,6,1,1
3,0.9,391,6,391,6,1,1
3,0.9,87,5,87,5,1,1
3,0.9,170,6,170,6,1,1
3,0.9,339,6,339,6,1,1
3,0.9,2378,6,2378,6,1,1
3,0.9,572,6,572,6,1,1
3,0.9,517,6,517,6,1,1
3,0.9,137,6,137,6,1,1
3,0.9,86,4,86,4,1,1
3,0.9,210,5,210,5,1,1
3,0.9,649,5,649,5,1,1
3,0.9,334,6,334,6,1,1
3,0.9,298,4,298,4,1,1
3,0.9,66,6,66,6,1,1
3,0.9,540,4,540,4,1,1
3,0.9,385,4,385,4,1,1
3,0.9,901,2,901,2,1,1
3,0.9,133,4,133,4,1,1
3,0.9,114,6,114,6,1,1
3,0.9,146,6,146,6,1,1
3,0.9,317,6,317,6,1,1
3,0.9,653,6,653,6,1,1
3,0.9,684,6,684,6,1,1
3,0.9,215,6,215,6,1,1
3,0.9,602,6,602,6,1,1
3,0.9,82,5,82,5,1,1
3,0.9,85,6,85,6,1,1
3,0.9,285,6,285,6,0.916666666666667,1
3,0.9,503,5,503,5,1,1
3,0.9,648,6,648,6,1,1
3,0.9,196,4,196,4,1,1
3,0.9,996,5,996,5,1,1
3,0.9,704,5,704,5,1,1
3,0.9,116,5,116,5,1,1
3,0.9,167,5,167,5,1,1
3,0.9,178,6,178,6,1,1
3,0.9,275,4,275,4,1,1
3,0.9,675,6,675,6,1,1
3,0.9,167,6,167,6,1,1
3,0.9,123,6,123,6,1,1
3,0.9,636,5,636,5,1,1
3,0.9,665,6,665,6,1,1
3,0.9,99,5,99,5,1,1
3,0.9,330,6,330,6,1,1
3,0.9,569,5,569,5,1,1
3,0.9,974,6,974,6,1,1
3,0.9,334,6,334,6,1,1
3,0.9,94,5,94,5,1,1
3,0.9,511,6,511,6,1,1
3,0.9,425,6,425,6,1,1
3,0.9,483,6,483,6,1,1
3,0.9,1032,5,1032,5,1,1
3,0.9,887,5,887,5,1,1
3,0.9,1379,6,1379,6,1,1
3,0.9,947,6,947,6,1,1
3,0.9,1325,6,1325,6,1,1
3,0.9,897,6,897,6,1,1
3,0.9,246,5,246,5,1,1
3,0.9,924,6,924,6,1,1
3,0.9,763,6,763,6,1,1
3,0.9,95,6,95,6,1,1
3,0.9,220,6,220,6,1,1
3,0.9,329,6,329,6,1,1
3,0.9,128,6,128,6,1,1
3,0.9,386,6,386,6,1,1
3,0.9,104,6,104,6,1,1
3,0.9,1071,6,1071,6,1,1
3,0.9,929,6,929,6,1,1
3,0.9,233,5,233,5,1,1
3,0.9,424,6,424,6,1,1
3,0.9,190,6,190,6,1,1
3,0.9,378,4,378,4,1,1
3,0.9,220,13,110,1579,0.0297656744775174,3
3,0.9,471,6,471,6,1,1
3,0.9,242,6,242,6,1,1
3,0.9,65,5,65,5,1,1
3,0.9,714,6,714,6,1,1
3,0.9,241,6,241,6,1,1
3,0.9,329,6,329,6,1,1
3,0.9,423,5,423,5,1,1
3,0.9,690,6,690,6,1,1
3,0.9,431,4,431,4,1,1
3,0.9,197,5,197,5,1,1
3,0.9,61,6,61,6,1,1
3,0.9,1536,5,1536,5,1,1
3,0.9,104,6,104,6,1,1
3,0.9,435,6,435,6,1,1
3,0.9,118,6,118,6,1,1
3,0.9,266,6,266,6,1,1
3,0.9,819,5,819,5,1,1
3,0.9,253,5,253,5,1,1
3,0.9,532,4,532,4,1,1
3,0.9,603,3,603,3,1,1
3,0.9,328,6,328,6,1,1
3,0.9,668,5,668,5,1,1
3,0.9,1747,6,1747,6,1,1
3,0.9,108,5,108,5,1,1
3,0.9,332,6,332,6,1,1
3,0.9,83,5,83,5,1,1
3,0.9,180,4,180,4,1,1
3,0.9,171,6,171,6,1,1
3,0.9,912,3,912,3,1,1
3,0.9,276,5,276,5,1,1
3,0.9,120,6,120,6,1,1
3,0.9,645,3,645,3,1,1
3,0.9,262,6,262,6,1,1
3,0.9,151,13,55,1532,0.0195822454308094,3
3,0.9,503,5,503,5,0.9,1
3,0.9,73,6,73,6,1,1
3,0.9,550,6,550,6,1,1
3,0.9,85,5,85,5,1,1
3,0.9,636,6,636,6,1,1
3,0.9,202,6,202,6,1,1
3,0.9,529,4,529,4,1,1
3,0.9,1184,6,1184,6,1,1
3,0.9,341,4,341,4,1,1
3,0.9,516,6,516,6,1,1
3,0.9,830,5,830,5,1,1
3,0.9,213,5,213,5,1,1
3,0.9,374,5,374,5,1,1
3,0.9,275,6,275,6,1,1
3,0.9,406,5,406,5,1,1
3,0.9,198,6,198,6,1,1
3,0.9,605,6,605,6,1,1
3,0.9,528,8,77,1540,0.0243506493506494,3
3,0.9,785,5,785,5,1,1
3,0.9,87,6,87,6,1,1
3,0.9,1204,6,1204,6,1,1
3,0.9,466,4,466,4,1,1
3,0.9,256,6,256,6,1,1
3,0.9,511,6,511,6,1,1
3,0.9,189,5,189,5,1,1
3,0.9,513,6,513,6,1,1
3,0.9,292,6,292,6,1,1
3,0.9,737,6,737,6,1,1
3,0.9,941,5,941,5,1,1
3,0.9,1029,5,1029,5,1,1
3,0.9,1327,6,1327,6,1,1
3,0.9,82,5,82,5,1,1
3,0.9,299,6,299,6,1,1
3,0.9,512,5,512,5,1,1
3,0.9,1392,5,1392,5,1,1
3,0.9,681,0,681,0,NA,1
3,0.9,1024,6,1024,6,1,1
3,0.9,392,5,392,5,1,1
3,0.9,648,5,648,5,1,1
3,0.9,624,5,624,5,1,1
3,0.9,315,6,315,6,1,1
3,0.9,285,6,285,6,1,1
3,0.9,810,6,810,6,1,1
3,0.9,870,6,870,6,1,1
3,0.9,830,5,830,5,1,1
3,0.9,860,3,860,3,1,1
3,0.9,252,6,252,6,1,1
3,0.9,76,6,76,6,1,1
3,0.9,224,6,224,6,1,1
3,0.9,61,5,61,5,1,1
3,0.9,387,6,387,6,1,1
3,0.9,587,6,587,6,1,1
3,0.9,478,5,478,5,1,1
3,0.9,84,6,84,6,1,1
3,0.9,144,6,144,6,1,1
3,0.9,193,4,193,4,1,1
3,0.9,286,5,286,5,1,1
3,0.9,238,5,238,5,1,1
3,0.9,135,5,135,5,1,1
3,0.9,93,6,93,6,1,1
3,0.9,119,4,119,4,1,1
3,0.9,466,4,466,4,1,1
3,0.9,934,5,934,5,1,1
3,0.9,665,5,665,5,1,1
3,0.9,727,5,727,5,1,1
3,0.9,200,5,200,5,1,1
3,0.9,344,6,344,6,1,1
3,0.9,176,4,176,4,1,1
3,0.9,479,5,479,5,1,1
3,0.9,272,6,272,6,1,1
3,0.9,1993,6,1993,6,1,1
3,0.9,955,6,955,6,1,1
3,0.9,476,6,476,6,1,1
3,0.9,1674,5,1674,5,1,1
3,0.9,678,6,678,6,1,1
3,0.9,283,4,283,4,0.75,1
